Input,Post-Lemma,Post-POS,Pattern Matching,Pattern Matched Output
The waitress was not amused when he ordered green eggs and ham,the waitress be not amuse when he order green egg and ham,DT NN VB RB VB WRB PRP VBP JJ NN CC NN,Pattern found,DT NN VBP NN
"I may struggle with geography, but I'm sure I'm somewhere around here","I may struggle with geography , but I be sure I be somewhere around here","PRP MD VB IN NN , CC PRP VBP JJ PRP VBP RB RB RB",Pattern found,NN VBP JJ
We should play with legos at camp,we should play with lego at camp,PRP MD VB IN NN IN NN,Pattern not found,N/A
Dan took the deep dive down the rabbit hole,Dan take the deep dive down the rabbit hole,NNP VB DT JJ NN IN DT NN NN,Pattern not found,N/A
Last Friday I saw a spotted striped blue worm shake hands with a legless lizard,last Friday I see a spotted striped blue worm shake hand with a legless lizard,JJ NNP PRP VBP DT JJ JJ JJ NN VBP NN IN DT JJ NN,Pattern found,DT NN VBP NN
You'll see the rainbow bridge after it rains cats and dogs,you will see the rainbow bridge after it rain cat and dog,PRP MD VB DT NN NN IN PRP NN NN CC NN,Pattern not found,N/A
The fox in the tophat whispered into the ear of the rabbit,the fox in the tophat whisper into the ear of the rabbit,DT NN IN DT NN NN IN DT NN IN DT NN,Pattern not found,N/A
"Red is greener than purple, for sure","Red be green than purple , for sure","NNP VB JJ IN JJ , IN JJ",Pattern not found,N/A
The wake behind the boat told of the past while the open sea for told life in the unknown future,the wake behind the boat tell of the past while the open sea for tell life in the unknown future,DT NN IN DT NN VB IN DT NN IN DT JJ NN IN JJ NN IN DT JJ NN,Pattern not found,N/A
"I'm not a party animal, but I do like animal parties","I be not a party animal , but I do like animal party","PRP VBP RB DT NN NN , CC PRP VBP IN NN NN",Pattern found,DT NN VBP NN
Nancy was proud that she ran a tight shipwreck,Nancy be proud that she run a tight shipwreck,NNP VB JJ IN PRP VBD DT JJ NN,Pattern not found,N/A
Writing a list of random sentences is harder than I initially thought it would be,write a list of random sentence be hard than I initially think it would be,VB DT NN IN JJ NN VB RB IN PRP RB VBP PRP MD VB,Pattern found,NN VBP NN
"While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense","while all she friend be positive that Mary have a sixth sense , she know she actually have a seventh sense","IN DT PRP NN VB JJ IN NNP VBP DT JJ NN , PRP VBP PRP RB VBP DT JJ NN",Pattern found,DT NN VBP NN
The Japanese yen for commerce is still well-known,the Japanese yen for commerce be still well - know,DT JJ NNS IN NN VB RB RB HYPH VB,Pattern not found,N/A
He dreamed of eating green apples with worms,he dream of eat green apple with worm,PRP NN IN VB JJ NN IN NN,Pattern not found,N/A
"It took him a while to realize that everything he decided not to change, he was actually choosing","it take he a while to realize that everything he decide not to change , he be actually choose","PRP VB PRP DT NN TO VB IN NN PRP VBP RB TO VB , PRP VB RB VB",Pattern found,NN VBP NN
He found a leprechaun in his walnut shell,he find a leprechaun in he walnut shell,PRP VBP DT NN IN PRP NN NN,Pattern found,NN VBP NN
"If my calculator had a history, it would be more embarrassing than my browser history","if my calculator have a history , it would be more embarrassing than my browser history","IN PRP$ NN VBP DT NN , PRP MD VB RBR JJ IN PRP$ NN NN",Pattern found,NN VBP NN
Nudist colonies shun fig-leaf couture,nudist colony shun fig - leaf couture,JJ NN VBP NN HYPH NN FW,Pattern found,NN VBP NN
People who insist on picking their teeth with their elbows are so annoying,person who insist on pick they tooth with they elbow be so annoying,NN WP VBP IN VBP PRP JJ IN PRP NN VB RB JJ,Pattern found,NN VBP NN
